Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Fidelity (MSE);Tolerancja_0.01;0;1723;0.009995614221489094;0.09997806870253644;1.7509420775745257;1.5827875631269355
Fidelity (MSE);Tolerancja_0.1;0;210;0.0993957459527727;0.3152709088272699;3.242418018783976;4.991163361959091
Fidelity (MSE);Tolerancja_1.0;0;25;0.9895960601683335;0.9947844289937059;3.785883788147422;15.748778133414993
Fidelity (MSE);Tolerancja_0.01;1;2100;0.00999794172104021;0.09998970807558251;1.3237190960490506;1.7569237730941423
Fidelity (MSE);Tolerancja_0.1;1;298;0.09990229909361743;0.31607324956980687;3.3156668397942255;5.553737648564253
Fidelity (MSE);Tolerancja_1.0;1;30;0.9598430401706668;0.9797157956114961;3.84021023417862;17.214631438713216
Fidelity (MSE);Tolerancja_0.01;2;1438;0.00999339699671184;0.0999669795318026;2.1000088108895376;1.6725178082196073
Fidelity (MSE);Tolerancja_0.1;2;163;0.09989048178029415;0.3160545550696812;3.530828383924238;5.287814778426912
Fidelity (MSE);Tolerancja_1.0;2;18;0.9562769977588609;0.9778941649068477;3.622623153254529;16.360856485019898
Fidelity (MSE);Tolerancja_0.01;3;1952;0.009997845396302621;0.09998922640116094;1.53131610344714;1.646336977593638
Fidelity (MSE);Tolerancja_0.1;3;273;0.09996384371202123;0.31617059273756193;3.3695949581106657;5.205794231902399
Fidelity (MSE);Tolerancja_1.0;3;30;0.9517317022327472;0.975567374522512;3.8645319509232303;16.0628569758762
Fidelity (MSE);Tolerancja_0.01;4;2640;0.00999627735958627;0.0999813850653524;1.0232457128220602;1.600981114071057
Fidelity (MSE);Tolerancja_0.1;4;532;0.09995503845835768;0.31615666758485056;3.652388786022171;5.062550929456889
Fidelity (MSE);Tolerancja_1.0;4;52;0.9801302262750676;0.9900152656777913;4.7472037694227245;15.852908438467402
Fidelity (MSE);Tolerancja_0.01;5;1996;0.009998878832481182;0.09999439400527002;1.5377714836676528;1.6577902369358473
Fidelity (MSE);Tolerancja_0.1;5;275;0.09985106595259294;0.3159921928665215;3.469784832390907;5.23878140863037
Fidelity (MSE);Tolerancja_1.0;5;27;0.9971495098693622;0.998573737822782;3.9599504059254778;16.555186017087102
Fidelity (MSE);Tolerancja_0.01;6;2080;0.009994464677040198;0.09997231955416558;1.4253994341251337;1.6689116633983818
Fidelity (MSE);Tolerancja_0.1;6;294;0.09982451810766593;0.3159501829524172;3.3098366420253402;5.274389428330222
Fidelity (MSE);Tolerancja_1.0;6;34;0.9692648881809142;0.9845125129630979;3.756145601125552;16.435193491289784
Fidelity (MSE);Tolerancja_0.01;7;2080;0.009986762432561216;0.09993379024414722;1.3405148269854168;1.5139406168742555
Fidelity (MSE);Tolerancja_0.1;7;305;0.09992306962978188;0.3161061050182073;3.2943342889588054;4.788829388536185
Fidelity (MSE);Tolerancja_1.0;7;32;0.9855114720506304;0.9927293045189259;4.156163316134661;15.03928963367378
Fidelity (MSE);Tolerancja_0.01;8;2054;0.009996105723260896;0.09998052672026136;1.335319650534708;1.6557149295947564
Fidelity (MSE);Tolerancja_0.1;8;298;0.09983574408611426;0.3159679478778097;3.250142985525099;5.2325474343464204
Fidelity (MSE);Tolerancja_1.0;8;32;0.9569017802228311;0.978213565752812;3.6085790534761357;16.199582641534807
Fidelity (MSE);Tolerancja_0.01;9;2071;0.009995975442572492;0.09997987518782213;1.4682502949327696;1.4752748700917795
Fidelity (MSE);Tolerancja_0.1;9;296;0.09987093027595442;0.31602362297137604;3.7664064799446457;4.663155544545204
Fidelity (MSE);Tolerancja_1.0;9;26;0.946541765774004;0.9729037803267104;5.086940825642985;14.35589407805255
Fidelity (MSE);Tolerancja_0.01;10;2048;0.00999823882844131;0.09999119375445675;1.5135400031215265;1.600732604870913
Fidelity (MSE);Tolerancja_0.1;10;298;0.09955785949238156;0.31552790604379444;3.6890150833314888;5.0512028908389315
Fidelity (MSE);Tolerancja_1.0;10;30;0.9637576767658448;0.9817116056998841;4.551546006125749;15.715961744420515
Fidelity (MSE);Tolerancja_0.01;11;976;0.009984122382829003;0.09992058037676224;1.8230409975606607;1.9638784488479264
Fidelity (MSE);Tolerancja_0.1;11;102;0.09907745236349431;0.314765710272727;2.4230129750933758;6.186529266644252
Fidelity (MSE);Tolerancja_1.0;11;11;0.9862429776350383;0.9930976677220817;2.9083879077178283;19.518732776437187
Fidelity (MSE);Tolerancja_0.01;12;1620;0.009994324170180648;0.09997161682287953;1.9767891996049674;1.7228185588225007
Fidelity (MSE);Tolerancja_0.1;12;195;0.09981277564711347;0.31593159963370787;3.6162693945787425;5.444473546244226
Fidelity (MSE);Tolerancja_1.0;12;20;0.9720871178610996;0.9859447843875941;3.8117653704860768;16.990862271704838
Fidelity (MSE);Tolerancja_0.01;13;1797;0.00999548789725757;0.09997743694082965;1.8077385146699188;1.992080057523268
Fidelity (MSE);Tolerancja_0.1;13;236;0.09953235172504815;0.3154874826756969;3.622425997320833;6.286181581234462
Fidelity (MSE);Tolerancja_1.0;13;20;0.997368828928297;0.9986835479411369;4.708025098758999;19.89906563425462
Fidelity (MSE);Tolerancja_0.01;14;2102;0.009993064248956221;0.09996531522961462;1.545873499420209;1.5268601280682879
Fidelity (MSE);Tolerancja_0.1;14;292;0.0997527593401791;0.31583660228063987;3.841570686587116;4.824056362941454
Fidelity (MSE);Tolerancja_1.0;14;33;0.9964869511675999;0.9982419301790523;4.477180769262481;15.247046416603377
Fidelity (MSE);Tolerancja_0.01;15;1995;0.009990814420929148;0.09995406155294115;1.5835533243291637;1.500603657847927
Fidelity (MSE);Tolerancja_0.1;15;280;0.09970261597206385;0.3157572104830923;3.844750783952552;4.740441935836911
Fidelity (MSE);Tolerancja_1.0;15;28;0.9754762198568327;0.9876619967665217;4.45172277946075;14.827703667451614
Fidelity (MSE);Tolerancja_0.01;16;2641;0.009990928159595588;0.09995463050602302;1.035805135958956;1.6337774744244231
Fidelity (MSE);Tolerancja_0.1;16;509;0.09999157831819122;0.31621444988834907;3.8611650412406027;5.168585414199142
Fidelity (MSE);Tolerancja_1.0;16;50;0.9801939742394817;0.9900474605994815;5.089546165282199;16.182514322246096
Fidelity (MSE);Tolerancja_0.01;17;1775;0.009998050571006249;0.09999025237995077;1.4050451979893985;1.4133055496286497
Fidelity (MSE);Tolerancja_0.1;17;234;0.09962186745999356;0.31562931970904345;3.0802333297864735;4.461241556579479
Fidelity (MSE);Tolerancja_1.0;17;26;0.9950077104298307;0.9975007320447593;3.288751647879132;14.099107531007446
Fidelity (MSE);Tolerancja_0.01;18;2380;0.009999835789992518;0.09999917894659195;1.2196932040266366;2.3013740468173642
Fidelity (MSE);Tolerancja_0.1;18;398;0.0999411530535922;0.316134707132248;3.8032670457777416;7.275501838679438
Fidelity (MSE);Tolerancja_1.0;18;37;0.9958682329905448;0.9979319781380617;4.8088153851547215;22.96633611564587
Fidelity (MSE);Tolerancja_0.01;19;2204;0.009997608999667017;0.09998804428363932;1.3667389383796635;1.7648627989332404
Fidelity (MSE);Tolerancja_0.1;19;332;0.09961859633995257;0.31562413776508375;3.511344351411492;5.570999044714006
Fidelity (MSE);Tolerancja_1.0;19;31;0.9997972321596662;0.9998986109399624;4.28919691522682;17.648948669773212
Fidelity (MSE);Tolerancja_0.01;20;1348;0.009985805418130362;0.09992900188699155;2.1370463987181516;1.596718455318899
